Rk,Player,G,Sk,Pts,Sfty,Tgt,Def%,Fmb,Int,Season,Age,Team,G,GS,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,IntTD,PD,Fmb,FR,Yds,FRTD,FF,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Prss,MTkl,MTkl%,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos
50,Darius Harris,5,0,0,0,0,0,0,0,2023,27,KAN,5,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,71,16.7,LB
51,Jordan Kunaszyk,5,0,0,0,3,5.3,0,0,2023,27,CLE,5,0,0,0,0,,0,0,,0,0,0,0,7,2,9,2,0,0,0,0,0,0,0,0,0,0,3,3,100,38,12.7,12.7,1,158.3,8.3,25,13,3,0,0,0,0,2,18.2,0,0,56,5.3,125,24.5,LB
52,Kana'i Mauga,5,0,0,0,3,1,0,0,2023,23,LVR,5,0,0,0,0,,0,0,,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,3,3,100,8,2.7,2.7,0,79.2,-1.3,-4,12,0,0,0,0,0,2,40,0,0,11,1,55,12.7,LB
53,Matt Milano,5,0,0,0,13,19.7,0,2,2023,29,BUF,5,5,0,0,0,,0,0,,0,0,0,0,18,12,30,1,1,2,16,0,2,0,0,0,0,1,13,8,61.5,78,9.8,6,0,38.8,4.1,43,35,8,0,1,0,1,5,14.3,0,0,211,19.7,1,0.2,LB
54,Leighton Vander Esch,5,0,6,0,13,25.1,0,0,2023,26,DAL,5,5,1,0,0,,0,0,,0,0,6,0,17,13,30,1,0,0,0,0,0,0,1,11,1,0,13,9,69.2,69,7.7,5.3,1,107.5,0.2,3,66,18,0,0,0,0,1,3.2,0,0,269,25.1,19,4.3,LB
55,Garret Wallow,5,0,0,0,3,2.1,0,0,2023,24,"HOU,TEN",5,0,0,0,0,,0,0,,0,0,0,0,5,1,6,0,0,0,0,0,0,0,0,0,0,0,3,3,100,18,6,6,0,91.7,0.3,1,17,2,0,0,0,0,0,0,0,0,48,2.1,68,7.4,LB
56,Claudin Cherelus,6,0,0,0,0,0,0,0,2023,25,CAR,6,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,105,23.7,LB
57,Frank Clark,6,0,0,0,1,11.9,0,0,2023,30,SEA,6,0,0,0,0,,0,0,,0,0,0,0,2,4,6,0,0,0,0,0,0,0,0,0,0,0,1,1,100,7,7,7,0,95.8,-2,-2,9,0,1,0,0,1,0,0,0,0,142,11.9,0,0,LB
58,Kyron Johnson,6,0,0,0,0,0.1,0,0,2023,25,PIT,6,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,1,0.1,100,22.2,LB
59,Uchenna Nwosu,6,2,0,0,0,23.8,0,0,2023,27,SEA,6,6,0,0,0,,0,0,,0,0,0,2,12,4,16,4,6,0,0,0,0,0,0,0,0,2,0,0,,0,,,0,,,0,0,9,2,4,0,8,2,11.1,0,0,283,23.8,6,1.3,LB
60,Chris Rumph,6,0,0,0,1,8.9,0,0,2023,25,LAC,6,0,0,0,0,,0,0,,0,0,0,0,4,1,5,0,0,0,0,0,0,0,1,0,0,0,1,1,100,0,0,0,0,79.2,-3,-3,3,0,0,0,0,0,0,0,0,0,103,8.9,100,21.8,OLB
61,Amari Burney,7,0,0,0,4,7.9,0,0,2023,23,LVR,7,1,0,0,0,,0,0,,0,0,0,0,10,5,15,0,0,0,0,0,0,0,0,0,0,0,4,4,100,34,8.5,8.5,0,102.1,3,12,22,5,0,0,0,0,2,11.8,0,0,89,7.9,76,17.5,LB
62,Ronnie Harrison,7,1,6,0,5,20,0,2,2023,26,IND,7,3,1,0,0,,0,0,,0,0,6,1,11,9,20,1,1,2,45,1,2,0,0,0,0,0,5,2,40,15,7.5,3,0,8.3,10.4,2,13,3,0,0,0,1,4,16.7,0,0,234,20,64,12.8,LB
63,Marquis Haynes,7,1,0,0,1,13.5,0,0,2023,30,CAR,7,1,0,0,0,,0,0,,0,0,0,1,13,3,16,3,2,0,0,0,0,0,0,0,0,0,1,1,100,20,20,20,0,118.7,2,2,18,0,0,1,0,2,1,5.9,0,0,142,13.5,4,0.9,OLB
64,Justin Houston,7,0.5,0,0,4,8.3,0,0,2023,34,"CAR,MIA",7,7,0,0,0,,0,0,,0,0,0,0.5,5,4,9,2,3,0,0,0,1,0,0,0,0,0,4,3,75,-7,-2.3,-1.8,0,77.1,-4.5,-18,11,13,2,2,1,5,2,18.2,0,0,180,8.3,1,0.1,ROLB
65,Isaiah Land,7,1,0,0,0,2.6,0,0,2023,23,IND,7,0,0,0,0,,0,0,,0,0,0,1,2,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,1,0,0,0,0,31,2.6,14,2.8,LB
66,Blake Lynch,7,0,0,0,0,0,0,0,2023,26,LAC,7,0,0,0,0,,0,0,,0,0,0,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,131,28.6,LB
67,Ben Niemann,7,0,0,0,0,0,0,0,2023,28,DEN,7,0,0,0,0,,0,0,,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,134,29,LB
68,Ronnie Perkins,7,0,0,0,4,13.2,0,0,2023,24,DEN,7,0,0,0,0,,0,0,,0,0,0,0,9,4,13,2,1,0,0,0,0,0,0,0,0,0,4,3,75,15,5,3.8,0,80.2,-0.8,-3,18,2,1,1,0,2,2,13.3,0,0,149,13.2,21,4.5,OLB
69,Otis Reese,7,0,0,0,7,7.8,0,0,2023,25,TEN,7,3,0,0,0,,0,0,,0,0,0,0,12,9,21,0,0,0,0,0,0,0,0,0,0,0,7,6,85.7,29,4.8,4.1,0,83.9,4.4,16,13,1,0,0,0,0,2,8.7,0,0,90,7.8,120,26.4,LB
70,Drake Thomas,7,0,0,0,0,0.3,0,0,2023,23,SEA,7,0,0,0,0,,0,0,,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,4,0.3,118,25.5,LB
71,Markees Watts,7,1,0,0,2,4,0,0,2023,24,TAM,7,0,0,0,0,,0,0,,0,0,0,1,4,0,4,1,1,0,0,0,0,0,0,0,0,0,2,2,100,13,6.5,6.5,0,93.7,0,0,13,0,0,1,0,2,0,0,0,0,45,4,91,21.2,OLB
72,Nick Bolton,8,0,0,0,32,40.6,0,1,2023,23,KAN,8,8,0,0,0,,0,0,,0,0,0,0,38,22,60,1,1,1,1,0,3,0,0,0,0,0,32,23,71.9,176,7.7,5.5,1,82.3,3.8,48,128,23,1,1,0,2,2,3.2,0,0,442,40.6,24,5.6,LB
73,Andrew Farmer,8,0,0,0,0,5.2,0,0,2023,23,LAC,8,0,0,0,0,,0,0,,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,4,0,0,0,0,0,0,0,0,60,5.2,48,10.5,OLB
74,Trevis Gipson,8,1,0,0,1,6.6,0,0,2023,26,TEN,8,0,0,0,0,,0,0,,0,0,0,1,1,5,6,0,0,0,0,0,0,0,0,0,0,1,1,1,100,17,17,17,0,118.7,15,15,2,1,1,0,0,2,1,14.3,0,0,76,6.6,29,6.4,OLB
75,De'Jon Harris,8,0,0,0,0,0.3,0,0,2023,26,WAS,8,0,0,0,0,,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,3,0.3,146,30.9,LB
76,Cole Holcomb,8,0,0,0,19,39.6,0,0,2023,27,PIT,8,8,0,0,0,,0,0,,0,0,0,0,31,23,54,4,2,0,0,0,2,0,1,0,0,2,19,13,68.4,144,11.1,7.6,0,90.7,4.9,61,83,37,0,2,0,2,5,8.5,0,0,447,39.6,31,6.9,LB
77,Eku Leota,8,0,0,0,1,7.3,0,0,2023,24,CAR,8,0,0,0,0,,0,0,,0,0,0,0,2,2,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,39.6,0,0,0,1,1,0,0,1,2,33.3,0,0,77,7.3,90,20.3,OLB
78,Ochaun Mathis,8,0,0,0,0,6.5,0,0,2023,24,LAR,8,0,0,0,0,,0,0,,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,7,0,1,0,1,0,0,0,0,74,6.5,19,4.1,OLB
79,Jeremiah Moon,8,0,0,0,1,8.6,0,0,2023,25,BAL,8,1,0,0,0,,0,0,,0,0,0,0,6,6,12,1,0,0,0,0,0,0,0,0,0,2,1,1,100,2,2,2,0,79.2,2,2,0,4,0,0,0,0,0,0,0,0,99,8.6,142,30,LB
80,Calvin Munson,8,0,0,0,1,1,0,0,2023,29,"MIA,NWE",8,0,0,0,0,,0,0,,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,100,7,7,7,0,95.8,-1,-1,8,1,0,0,0,0,0,0,0,0,23,1,88,9.6,LB
81,Jaelan Phillips,8,6.5,0,0,4,33.2,0,1,2023,24,MIA,8,6,0,0,0,,0,0,,0,0,0,6.5,28,15,43,7,11,1,5,0,2,0,0,0,0,0,4,4,100,29,7.3,7.3,0,57.3,-2.5,-10,39,8,6,4,1,17,1,2.3,0,0,367,33.2,16,3.5,LB
82,J.J. Russell,8,1,0,0,1,6.3,0,0,2023,25,TAM,8,1,0,0,0,,0,0,,0,0,0,1,7,3,10,1,1,0,0,0,0,0,0,0,0,0,1,1,100,9,9,9,0,104.2,1,1,8,2,0,0,0,1,1,9.1,0,0,71,6.3,128,29.8,LB
83,Keir Thomas,8,0,0,0,1,8.3,0,0,2023,25,LAR,8,0,0,0,0,,0,0,,0,0,0,0,3,3,6,0,2,0,0,0,0,0,0,0,0,0,1,1,100,20,20,20,0,118.7,13,13,7,2,0,2,0,2,0,0,0,0,94,8.3,64,13.8,OLB
84,Nick Vigil,8,0,0,0,0,0,0,0,2023,30,MIN,8,0,0,0,0,,0,0,,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,116,26.7,LB
85,Mykal Walker,8,0,0,0,26,26,0,1,2023,26,PIT,8,5,0,0,0,,0,0,,0,0,0,0,21,12,33,2,0,1,30,0,2,0,0,0,0,0,26,19,73.1,260,13.7,10,4,128.2,4.8,78,182,12,0,0,0,0,4,10.8,0,0,294,26,11,2.4,LB
86,Chandler Wooten,8,0,0,0,4,4.5,0,0,2023,24,CAR,8,0,0,0,0,,0,0,,0,0,0,0,2,6,8,0,0,0,0,0,0,0,1,0,0,0,4,2,50,17,8.5,4.3,0,61.5,2.8,0,17,2,0,0,0,0,0,0,0,0,47,4.5,177,40,LB
87,Kwon Alexander,9,1,0,0,26,32.1,0,1,2023,29,PIT,9,2,0,0,0,,0,0,,0,0,0,1,32,9,41,5,2,1,0,0,1,0,0,0,0,1,26,20,76.9,163,8.2,6.3,0,76.3,4.9,93,70,28,0,1,0,2,6,12.8,0,0,362,32.1,5,1.1,LB
88,Joey Bosa,9,6.5,0,0,0,27.8,0,0,2023,28,LAC,9,5,0,0,0,,0,0,,0,0,0,6.5,14,6,20,6,8,0,0,0,1,0,1,0,0,1,0,0,,0,,,0,,,0,0,3,6,2,0,15,1,4.8,0,0,320,27.8,0,0,OLB
89,Rashaan Evans,9,0,0,0,2,6.6,0,0,2023,28,DAL,9,1,0,0,0,,0,0,,0,0,0,0,4,5,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,0,0,39.6,9.5,0,0,2,0,0,0,0,0,0,0,0,71,6.6,79,17.8,LB
