,,,,,,,,,,,,,,,,,,PAT,,,FG,,,,,,Kick Returns,,,,Punt Returns,,,,,Tackles,,,,,Def Interceptions,,,,Fumbles,,,,,,,,,,Pass Coverage,,,,,,,,,,,Pass Rush,,,,,Tackles,,Snap Counts,,,Snap Counts,,,
Rk,Player,G,Sk,Sfty,Tgt,Def%,Fmb,Int,RtY,KRTD,PRTD,Season,Age,Team,G,GS,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Ret,Yds,Y/Ret,KRTD,Ret,Yds,Y/Ret,PRTD,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,IntTD,PD,Fmb,FR,Yds,FRTD,FF,Touch,TotOff,YScm,APYd,RtY,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Prss,MTkl,MTkl%,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos
48,Andre Chachere,3,0,0,0,0.3,0,0,0,0,0,2024,28,ARI,3,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,3,0.3,47,10.8,S
49,Marcus Epps,3,0,0,13,15.8,0,0,0,0,0,2024,28,LVR,3,3,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,16,3,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,76.9,105,10.5,8.1,0,99.8,5,53,52,3,0,0,0,0,7,26.9,0,0,176,15.8,0,0,S
50,Tre Hawkins,3,0,0,9,7.5,0,1,0,0,0,2024,24,NYG,3,1,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,8,2,10,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,9,3,33.3,30,10,3.3,0,4.2,13.1,27,3,0,0,0,0,0,2,16.7,0,0,82,7.5,20,4.5,CB
51,Desmond King,3,0,0,5,0.9,2,0,40,0,0,2024,30,"HOU,BAL",3,0,0,0,0,,0,0,,0,0,0,0,0,,0,5,40,8,0,0,2,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,40,40,5,4,80,36,9,7.2,1,136.2,10.4,19,17,1,1,0,0,1,0,0,0,0,19,0.9,33,3.5,CB
52,Darrell Luter,3,0,0,0,0.3,0,0,0,0,0,2024,24,SFO,3,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,3,0.3,47,10.4,CB
53,Jaylen Mahoney,3,0,0,0,0,0,0,0,0,0,2024,24,SFO,3,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,30,6.7,S
54,Arthur Maulet,3,0,0,6,6.4,0,0,0,0,0,2024,31,BAL,3,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,50,25,8.3,4.2,0,61.1,10.7,15,10,4,1,0,0,1,1,16.7,0,0,72,6.4,32,6.7,CB
55,Bobby McCain,3,0,0,4,3.5,0,0,0,0,0,2024,31,MIN,3,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,75,30,10,7.5,0,95.8,5.3,21,9,1,0,0,0,0,0,0,0,0,40,3.5,27,6,S
56,Tanner McCalister,3,0,0,0,0,0,0,0,0,0,2024,24,DEN,3,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,54,11.4,S
57,Ifeatu Melifonwu,3,1,0,7,12.5,0,0,0,0,0,2024,25,DET,3,3,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,1,8,2,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,71.4,48,9.6,6.9,0,90.2,6.7,32,16,8,2,1,0,4,0,0,0,0,137,12.5,6,1.3,S
