Rk,Player,G,Sk,Pts,Sfty,Tgt,Def%,Fmb,Int,Season,Age,Team,G,GS,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,IntTD,PD,Fmb,FR,Yds,FRTD,FF,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Prss,MTkl,MTkl%,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos
60,Kyle Phillips,5,0,0,0,0,5.1,0,0,2023,26,NOR,5,0,0,0,0,,0,0,,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,56,5.1,13,2.8,DE
61,Ben Stille,5,1,0,0,0,12.1,0,0,2023,26,ARI,5,0,0,0,0,,0,0,,0,0,0,1,6,2,8,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,2,0,0,3,0,0,0,0,134,12.1,0,0,DL
62,Chris Wormley,5,0,0,0,0,4.4,0,0,2023,30,CAR,5,0,0,0,0,,0,0,,0,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,46,4.4,10,2.3,DE
63,Quinton Bohanna,6,0,0,0,0,5,0,0,2023,24,"DET,TEN",6,3,0,0,0,,0,0,,0,0,0,0,5,5,10,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,113,5,0,0,DT
64,Sheldon Day,6,0,0,0,0,11.1,0,0,2023,29,MIN,6,1,0,0,0,,0,0,,0,0,0,0,3,5,8,1,0,0,0,0,0,0,1,5,0,0,0,0,,0,,,0,,,0,0,1,1,0,0,1,1,11.1,0,0,126,11.1,0,0,DL
65,Kerry Hyder,6,1,0,0,0,4.4,0,0,2023,32,"HOU,SFO",6,0,0,0,0,,0,0,,0,0,0,1,3,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,2,0,0,3,0,0,0,0,99,4.4,12,1.3,DE
66,Carl Lawson,6,0,0,0,0,8.9,0,0,2023,28,NYJ,6,0,0,0,0,,0,0,,0,0,0,0,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,101,8.9,0,0,DE
67,Janarius Robinson,6,1,0,0,0,6.9,0,0,2023,24,LVR,6,2,0,0,0,,0,0,,0,0,0,1,5,3,8,1,2,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,1,0,2,1,11.1,0,0,78,6.9,34,7.8,DE
68,Al Woods,6,1,0,0,1,12.3,0,0,2023,36,NYJ,6,0,0,0,0,,0,0,,0,0,0,1,4,2,6,2,2,0,0,0,0,0,0,0,0,0,1,1,100,11,11,11,0,112.5,-4,-4,15,0,1,1,0,3,0,0,0,0,140,12.3,36,7.4,DL
69,Byron Young,6,0,0,0,0,8.7,0,0,2023,23,LVR,6,0,0,0,0,,0,0,,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,99,8.7,13,3,DT
70,Abdullah Anderson,7,0.5,0,0,1,9.7,0,0,2023,27,WAS,7,0,0,0,0,,0,0,,0,0,0,0.5,5,3,8,1,1,0,0,0,0,0,1,0,0,0,1,1,100,-2,-2,-2,0,79.2,-3,-3,1,0,0,0,0,1,0,0,0,0,113,9.7,38,8,DL
71,Earnest Brown IV,7,0,0,0,1,4.9,0,0,2023,24,LAR,7,0,0,0,0,,0,0,,0,0,0,0,2,3,5,0,0,0,0,0,0,0,0,0,0,0,1,1,100,6,6,6,0,91.7,-1,-1,7,0,0,0,0,0,0,0,0,0,56,4.9,0,0,DE
72,Malik Herring,7,1.5,0,0,2,15,0,0,2023,26,KAN,7,1,0,0,0,,0,0,,0,0,0,1.5,7,3,10,2,3,0,0,0,1,0,0,0,0,1,2,1,50,8,8,4,0,60.4,3.5,4,4,0,1,1,1,4,0,0,0,0,163,15,5,1.2,DE
73,DaQuan Jones,7,2.5,0,0,0,16.2,0,0,2023,32,BUF,7,7,0,0,0,,0,0,,0,0,0,2.5,8,8,16,4,5,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,4,2,0,9,3,15.8,0,0,174,16.2,4,0.9,DT
74,Linval Joseph,7,1,0,0,0,15,0,0,2023,35,BUF,7,0,0,0,0,,0,0,,0,0,0,1,7,5,12,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,1,0,2,1,7.7,0,0,161,15,1,0.2,DT
75,LaCale London,7,0,0,0,1,17.9,0,0,2023,26,ATL,7,0,0,0,0,,0,0,,0,0,0,0,6,7,13,2,0,0,0,0,0,0,1,0,0,0,1,1,100,8,8,8,0,100,-3,-3,11,0,0,0,0,0,1,7.1,0,0,204,17.9,9,1.9,DL
76,TK McLendon,7,0,0,0,0,8.8,0,0,2023,23,TEN,7,2,0,0,0,,0,0,,0,0,0,0,3,5,8,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,2,20,0,0,101,8.8,34,7.5,DE
77,Joshua Pryor,7,0,0,0,0,0.1,0,0,2023,24,WAS,7,0,0,0,0,,0,0,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,1,0.1,157,33.2,DE
78,Sam Roberts,7,0,0,0,0,8.8,0,0,2023,25,NWE,7,1,0,0,0,,0,0,,0,0,0,0,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,1,16.7,0,0,100,8.8,28,6.1,DL
79,Myjai Sanders,7,0,0,0,1,12.1,0,0,2023,25,HOU,7,0,0,0,0,,0,0,,0,0,0,0,4,3,7,1,2,0,0,0,0,0,0,0,0,0,1,1,100,9,9,9,0,104.2,-7,-7,16,2,2,2,0,4,1,12.5,0,0,138,12.1,17,3.6,DE
80,Poona Ford,8,1,0,0,0,14.1,0,0,2023,28,BUF,8,0,0,0,0,,0,0,,0,0,0,1,5,4,9,1,3,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,2,2,0,5,1,10,0,0,151,14.1,33,7.7,DT
81,DaVon Hamilton,8,0,0,0,1,17.1,0,0,2023,26,JAX,8,2,0,0,0,,0,0,,0,0,0,0,7,5,12,1,0,0,0,0,0,0,0,0,0,0,1,1,100,21,21,21,0,118.7,-8,-8,29,0,0,0,0,0,2,14.3,0,0,190,17.1,4,0.9,DT
82,Drake Jackson,8,3,0,0,1,18.2,0,0,2023,22,SFO,8,0,0,0,0,,0,0,,0,0,0,3,4,3,7,2,3,0,0,0,1,0,0,0,0,0,1,0,0,0,,0,0,39.6,-4,0,0,1,4,1,1,8,0,0,0,0,199,18.2,33,7.6,DL
83,Grady Jarrett,8,1.5,0,0,0,27.9,0,0,2023,30,ATL,8,8,0,0,0,,0,0,,0,0,0,1.5,9,14,23,2,8,0,0,0,2,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,2,6,2,10,2,8,0,0,318,27.9,19,4.1,DL
84,Otito Ogbonnia,8,0,0,0,0,19.4,0,0,2023,23,LAC,8,2,0,0,0,,0,0,,0,0,0,0,10,11,21,0,2,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,2,0,2,0,0,0,0,223,19.4,33,7.2,DT
85,Moro Ojomo,8,0,0,0,0,5.9,0,0,2023,22,PHI,8,0,0,0,0,,0,0,,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,68,5.9,16,3.6,DT
