,,,,,,,,,,,,,,,,PAT,,,FG,,,,,,,Tackles,,,,,Def Interceptions,,,,Fumbles,,,,,Pass Coverage,,,,,,,,,,,Pass Rush,,,,,Tackles,,Snap Counts,,,Snap Counts,,,
Rk,Player,G,Sk,Pts,Sfty,Tgt,Def%,Fmb,Int,Season,Age,Team,G,GS,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,IntTD,PD,Fmb,FR,Yds,FRTD,FF,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Prss,MTkl,MTkl%,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos
47,Darius Harris,4,0,0,0,0,0,0,0,2024,28,DAL,4,0,0,0,0,,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,69,14.3,LB
48,Adisa Isaac,4,0,0,0,0,2.8,0,0,2024,23,BAL,4,0,0,0,0,,0,0,,0,0,0,0,2,2,4,1,0,0,0,0,1,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,1,0,1,1,0,0,0,0,32,2.8,46,9.7,OLB
49,Titus Leo,4,0,0,0,0,0.8,0,0,2024,25,NWE,4,0,0,0,0,,0,0,,0,0,0,0,4,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,1,0,0,0,0,0,9,0.8,77,17.6,LB
50,Luke Masterson,4,0,0,0,8,9.1,0,0,2024,26,LVR,4,2,0,0,0,,0,0,,0,0,0,0,10,7,17,0,0,0,0,0,0,0,0,0,0,0,8,5,62.5,65,13,8.1,0,88,9.9,41,24,6,0,0,0,0,1,5.6,0,0,102,9.1,87,18.3,LB
51,Matt Milano,4,0,0,0,8,16.6,0,0,2024,30,BUF,4,4,0,0,0,,0,0,,0,0,0,0,7,9,16,1,2,0,0,0,0,0,2,0,0,0,8,5,62.5,60,12,7.5,0,85.4,0.5,-5,65,4,0,2,0,2,8,33.3,0,0,183,16.6,0,0,LB
52,C.J. Mosley,4,0,0,0,5,9.6,0,0,2024,32,NYJ,4,3,0,0,0,,0,0,,0,0,0,0,13,4,17,0,0,0,0,0,0,0,0,0,0,0,5,5,100,44,8.8,8.8,0,103.3,4.6,23,21,3,0,0,0,0,0,0,0,0,110,9.6,9,2.1,LB
53,Jaelan Phillips,4,1,0,0,3,12.6,0,0,2024,25,MIA,4,3,0,0,0,,0,0,,0,0,0,1,2,4,6,1,2,0,0,0,2,0,0,0,0,0,3,2,66.7,11,5.5,3.7,0,72.9,1,-1,12,3,1,0,1,2,1,14.3,0,0,134,12.6,0,0,LB
54,Anthony Pittman,4,0,0,0,0,0.7,0,0,2024,28,"DET,JAX",4,0,0,0,0,,0,0,,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,15,0.7,72,8,LB
55,Jose Ramirez,4,0,0,0,1,2.7,0,0,2024,25,TAM,4,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,100,8,8,8,0,100,-5,-5,13,2,0,1,0,1,0,,0,0,30,2.7,40,8.4,OLB
56,Drew Sanders,4,1,0,0,2,1.6,0,0,2024,24,DEN,4,0,0,0,0,,0,0,,0,0,0,1,4,4,8,1,1,0,0,0,0,0,0,0,0,0,2,2,100,16,8,8,0,100,5.5,11,5,1,0,0,0,1,0,0,0,0,18,1.6,66,14,LB
57,Shaq Thompson,4,0,0,0,10,20.1,0,0,2024,30,CAR,4,4,0,0,0,,0,0,,0,0,0,0,19,16,35,2,1,0,0,0,0,0,0,0,0,0,10,9,90,47,5.2,4.7,0,86.2,1.1,9,38,9,1,1,0,2,8,18.6,0,0,245,20.1,23,4.8,LB
58,Edefuan Ulofoshio,4,0,0,0,6,5.8,0,0,2024,24,BUF,4,1,0,0,0,,0,0,,0,0,0,0,5,1,6,1,0,0,0,0,1,0,0,0,0,0,6,4,66.7,19,4.8,3.2,0,70.8,5.8,5,14,4,0,0,0,0,2,25,0,0,64,5.8,60,13.5,LB
59,Kwon Alexander,5,0,0,0,3,4.2,0,0,2024,30,"DEN,DET",5,4,0,0,0,,0,0,,0,0,0,0,4,8,12,0,0,0,0,0,0,0,1,0,0,1,3,3,100,48,16,16,1,158.3,8,24,24,3,0,0,0,0,1,7.7,0,0,94,4.2,0,0,LB
60,Amare Barno,5,1,0,0,1,4.7,0,0,2024,25,CAR,5,0,0,0,0,,0,0,,0,0,0,1,4,3,7,1,1,0,0,0,0,0,0,0,0,0,1,1,100,5,5,5,0,87.5,-3,-3,8,7,1,0,0,2,0,0,0,0,57,4.7,86,18,OLB
61,Joe Giles-Harris,5,0,0,0,2,0.7,0,0,2024,27,"JAX,NWE",5,0,0,0,0,,0,0,,0,0,0,0,2,2,4,0,1,0,0,0,0,0,0,0,0,0,2,2,100,13,6.5,6.5,0,93.7,-1,-2,15,1,0,1,0,1,0,0,0,0,17,0.7,90,10.2,LB
62,Trevis Gipson,5,0,0,0,2,4.2,0,0,2024,27,SEA,5,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,100,16,8,8,1,139.6,1.5,3,13,2,0,0,0,0,2,100,0,0,47,4.2,28,6,LB
63,Mohamed Kamara,5,0,0,0,0,2.4,0,0,2024,25,MIA,5,0,0,0,0,,0,0,,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,2,1,0,3,0,0,0,0,26,2.4,30,6.8,LB
64,Caleb Murphy,5,0,0,0,0,1.4,0,0,2024,25,"TEN,LAC",5,0,0,0,0,,0,0,,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,1,0,0,1,0,0,0,0,31,1.4,59,6.4,OLB
65,Patrick O'Connell,5,0,0,0,0,0,0,0,2024,26,SEA,5,0,0,0,0,,0,0,,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,58,12.3,LB
66,Isaiah Stalbird,5,0,0,0,0,0,0,0,2024,24,NOR,5,0,0,0,0,,0,0,,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,83,18.1,LB
67,Markees Watts,5,0,0,0,0,0.9,0,0,2024,25,TAM,5,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,3,1,0,0,1,0,,0,0,10,0.9,67,14,OLB
68,Josh Woods,5,0,0,0,0,0,0,0,2024,28,ATL,5,0,0,0,0,,0,0,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,89,20,LB
69,Chandler Wooten,5,0,0,0,11,17.4,0,0,2024,25,CAR,5,2,0,0,0,,0,0,,0,0,0,0,14,16,30,0,0,0,0,0,0,0,0,0,0,0,11,8,72.7,123,15.4,11.2,0,109.3,4,31,92,6,0,0,0,0,4,11.8,0,0,212,17.4,48,10,LB
70,Shaka Heyward,6,0,0,0,1,1.1,0,0,2024,24,CIN,6,0,0,0,0,,0,0,,0,0,0,0,5,1,6,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,0,0,39.6,-6,0,0,0,0,0,0,0,0,0,0,0,12,1.1,102,22.1,LB
71,Ochaun Mathis,6,0,0,0,0,0.5,0,0,2024,25,"NWE,PHI",6,0,0,0,0,,0,0,,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,,0,,,0,0,1,0,0,0,0,0,0,0,0,11,0.5,89,10.1,OLB
72,Elias Neal,6,0,0,0,0,0,0,0,2024,23,LAR,6,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,77,17.5,LB
73,Uchenna Nwosu,6,1,0,0,4,16.8,0,0,2024,28,SEA,6,2,0,0,0,,0,0,,0,0,0,1,8,6,14,1,5,0,0,0,1,0,0,0,0,0,4,4,100,28,7,7,1,135.4,0.5,2,26,6,1,4,1,6,1,6.7,0,0,190,16.8,0,0,LB
74,Troy Reeder,6,0,0,0,19,33.4,0,0,2024,30,LAR,6,6,0,0,0,,0,0,,0,0,0,0,26,20,46,1,0,0,0,0,1,0,0,0,0,0,19,14,73.7,160,11.4,8.4,0,98.6,3.1,37,123,10,0,0,0,0,6,11.5,0,0,372,33.4,37,8.4,LB
75,Troy Andersen,7,0,6,0,20,25.6,0,1,2024,25,ATL,7,4,1,0,0,,0,0,,0,0,6,0,28,19,47,1,1,1,47,1,1,0,0,0,0,0,20,14,70,106,7.6,5.3,0,61.7,1.3,14,92,16,0,1,0,1,5,9.6,0,0,285,25.6,56,12.6,LB
76,Zach Cunningham,7,0,0,0,0,1.3,0,0,2024,30,DEN,7,0,0,0,0,,0,0,,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,15,1.3,41,8.7,LB
77,Dennis Gardeck,7,3,0,0,4,19,0,1,2024,30,ARI,7,3,0,0,0,,0,0,,0,0,0,3,17,5,22,6,4,1,10,0,2,0,0,0,0,1,4,3,75,18,6,4.5,0,43.7,4,9,9,10,1,1,1,5,1,4.3,0,0,207,19,69,15.8,OLB
78,Cedric Gray,7,0,0,0,1,4.5,0,0,2024,22,TEN,7,0,0,0,0,,0,0,,0,0,0,0,13,9,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,39.6,4,0,0,0,0,0,0,0,1,4.3,0,0,48,4.5,126,27.6,LB
79,Antonio Grier,7,0,0,0,0,0.2,0,0,2024,24,TAM,7,0,0,0,0,,0,0,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,2,0.2,105,22,LB
80,Brennan Jackson,7,0,0,0,0,4.2,0,0,2024,24,LAR,7,1,0,0,0,,0,0,,0,0,0,0,2,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,,,0,,,0,0,2,1,0,0,1,1,25,0,0,47,4.2,56,12.7,OLB
81,Vi Jones,7,0,0,0,2,4.9,0,0,2024,26,TAM,7,0,0,0,0,,0,0,,0,0,0,0,5,4,9,0,0,0,0,0,0,0,0,0,0,2,2,2,100,8,4,4,0,83.3,-1.5,-3,11,2,0,0,0,0,0,0,0,0,55,4.9,124,25.9,LB
82,Nephi Sewell,7,1,0,0,0,4.9,0,0,2024,26,NOR,7,1,0,0,0,,0,0,,0,0,0,1,7,4,11,2,1,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,3,0,0,0,1,0,0,0,0,58,4.9,105,22.9,LB
83,Josh Uche,7,2,0,0,4,14.5,0,0,2024,26,NWE,7,1,0,0,0,,0,0,,0,0,0,2,10,3,13,2,3,0,0,0,0,0,0,0,0,0,4,4,100,49,12.3,12.3,0,117.7,3.8,15,34,9,2,1,0,5,3,18.8,0,0,162,14.5,18,4.1,LB
84,Devin White,7,0,0,0,18,16.1,0,0,2024,26,HOU,7,1,0,0,0,,0,0,,0,0,0,0,15,4,19,0,0,0,0,0,0,0,0,0,0,0,18,11,61.1,73,6.6,4.1,0,69.9,4.3,9,64,13,4,0,0,4,4,17.4,0,0,176,16.1,6,1.3,LB
85,Jaylan Ford,8,0,0,0,0,0,0,0,2024,23,NOR,8,0,0,0,0,,0,0,,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,104,22.7,LB
86,Jalen Graham,8,0,0,0,1,3.4,0,0,2024,23,SFO,8,0,0,0,0,,0,0,,0,0,0,0,4,4,8,1,0,0,0,0,0,0,0,0,0,0,1,1,100,5,5,5,0,87.5,5,5,0,3,0,0,0,0,0,0,0,0,36,3.4,125,27.8,LB
